ticker,sector,marketCap,trailingPE,forwardPE,priceToBook,enterpriseToRevenue,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,beta,revenueGrowth,earningsGrowth,pegRatio
CF,Basic Materials,12791005184,9.548972,12.778317,2.5680466,2.482,0.21967,0.09551,0.20472,0.33936,44.133,2.273,1.863,0.673,0.211,0.416,0.30717108173076924
CRL,Healthcare,8600895488,,17.0,2.525616,2.751,-0.021879999,0.043449998,-0.020450002,0.15772,76.251,1.366,0.839,1.636,-0.005,-0.173,-0.9826589595375724
SCHW,Financial Services,167127236608,21.562061,24.228947,3.8595684,5.934,0.17046,0.01768,0.35930002,0.49242002,99.789,0.59,0.59,0.953,0.266,0.775,0.3126315741935484
CHTR,Communication Services,27006771200,5.4830837,5.5259924,1.6679742,2.303,0.31327,0.05546,0.092939995,0.23858999,497.907,0.375,0.313,1.054,-0.009,-0.054,-1.023331925925926
CVX,Energy,302727069696,21.132208,13.609601,1.5935897,1.813,0.07316,0.04047,0.06767,0.098529994,21.239,1.152,0.72,0.669,-0.014,-0.266,-0.5116391353383458
CMG,Consumer Cyclical,45777813504,30.212389,26.06107,14.049382,4.132,0.44958,0.13583,0.13036,0.16134001,154.574,1.542,1.415,0.999,0.075,0.022,11.845940909090912
CB,Financial Services,117414297600,12.301587,12.473528,1.6161516,2.368,0.1364,0.029679999,0.16442,0.25623,30.958,0.38,0.176,0.527,0.091,0.226,0.551926017699115
CHD,Consumer Defensive,20351072256,26.353312,22.396784,4.7495594,3.608,0.18594,0.07856,0.12742,0.16057,56.855,1.086,0.607,0.452,0.05,,
CI,Healthcare,73219186688,12.133688,8.751596,1.7479976,0.375,0.15538,0.0395,0.02293,0.04,81.021,0.828,0.687,0.275,0.095,1.654,0.05291170495767836
CINF,Financial Services,25609766912,12.1762085,22.34243,1.6583297,2.055,0.14529,0.04305,0.17569,0.38272,5.732,1.118,0.929,0.703,0.122,0.367,0.6087855585831062
CTAS,Industrials,74219462656,41.022274,39.35684,15.606677,7.252,0.42187,0.15977,0.17538,0.22731,56.254,2.239,1.034,0.963,0.087,0.091,4.324927472527473
CSCO,Technology,303720660992,29.679539,19.710257,6.458036,5.505,0.22418,0.06646,0.17902,0.23604,63.228,0.927,0.718,0.869,0.075,0.06,3.2850428333333332
C,Financial Services,189962256384,14.492978,14.351878,0.9518583,0.275,0.06995,0.0058399998,0.19488001,0.30606002,,,,1.198,0.116,0.232,0.6186154310344827
CFG,Financial Services,23577536512,15.310925,14.124031,0.9943244,3.213,0.067140006,0.0077,0.22894,0.32026002,,,,1.112,0.136,0.364,0.3880228296703297
CLX,Consumer Defensive,12916501504,16.623234,14.525377,-585.02765,2.361,4.43646,0.114630006,0.11682,0.08328,2230.435,0.759,0.389,0.565,-0.189,-0.187,-0.776758128342246
CME,Financial Services,100062830592,26.888565,26.758919,3.5421693,15.859,0.13346,0.01601,0.58946997,0.63386,13.372,1.021,0.021,0.297,-0.03,-0.004,-66.8972975
CMS,Utilities,22105788416,20.933718,20.290503,2.558377,4.895,0.11233,0.03254,0.12622,0.26174998,191.634,0.899,0.425,0.474,0.16,0.092,2.2054894565217396
KO,Consumer Defensive,304140156928,23.400661,23.794613,9.730139,7.1,0.42442,0.08959,0.2734,0.32373002,144.771,1.211,0.877,0.398,0.051,0.301,0.7905187043189369
CTSH,Technology,37943480320,17.983797,15.5691395,2.518886,1.741,0.14501001,0.101560004,0.10203,0.15993,7.854,2.358,1.965,0.974,0.074,-0.521,-0.2988318522072937
COIN,Financial Services,70986432512,22.773355,73.7423,4.415336,9.361,0.26005,0.00873,0.43664002,0.25254,48.559,2.404,1.105,3.675,0.589,4.306,0.17125476079888527
CL,Consumer Defensive,63703961600,22.078432,20.41969,74.21845,3.526,2.93635,0.15337,0.1447,0.2023,680.048,0.93,0.505,0.3,0.019,0.011,18.563354545454548
CMCSA,Communication Services,99763421184,4.4883723,6.1689496,1.0171278,1.531,0.24186,0.051069997,0.18333,0.17735,101.462,0.882,0.689,0.826,-0.027,-0.042,-1.4687975238095239
CAG,Consumer Defensive,8237215232,9.728813,6.4014864,0.92386925,1.382,0.096540004,0.046669997,0.07424,0.11688,92.867,1.058,0.401,-0.011,-0.058,-0.649,-0.09863615408320492
COP,Energy,111518064640,12.611582,11.119553,1.6994994,2.082,0.15421,0.080979995,0.14445,0.19543,36.169,1.323,0.999,0.327,0.14,-0.216,-0.5147941203703703
ED,Utilities,34963832832,16.935316,17.236656,1.4469656,3.704,0.08839,0.03264,0.122700006,0.25342,110.373,1.075,0.694,0.365,0.107,0.124,1.3900529032258064
STZ,Consumer Defensive,23996835840,20.066957,9.087673,3.2168193,3.625,0.15912,0.0896,0.12705,0.36413,135.429,1.083,0.383,0.463,-0.15,,
CEG,Utilities,113612537856,41.657505,40.633522,7.913956,4.79,0.19839,0.0388,0.11026,0.16332,61.51,1.563,1.144,1.13,0.003,-0.223,-1.8221310313901344
COO,Healthcare,15131028480,37.176468,18.588234,1.8050267,4.309,0.050100002,0.03794,0.1008,0.16570999,29.67,2.116,0.908,1.06,0.057,-0.058,-3.2048679310344825
CPRT,Industrials,37713969152,23.90184,22.390804,3.9282112,7.001,0.18124,0.1142,0.34243,0.37289003,1.039,7.939,7.685,1.111,0.007,0.108,2.0732225925925922
GLW,Technology,71769636864,53.66026,36.238094,5.8632765,5.349,0.12739,0.044239998,0.09159,0.14561,76.51,1.556,0.745,1.103,0.209,,
CPAY,Technology,20827713536,20.037365,13.298017,5.0688276,6.244,0.29097,0.06309,0.24365999,0.44617,201.153,1.134,0.722,0.86,0.139,0.003,44.326723333333334
CTVA,Basic Materials,44548960256,26.558704,20.436136,1.7603649,2.654,0.06705,0.03805,0.09187999,-0.10313,17.175,1.578,0.998,0.748,0.126,,
CSGP,Real Estate,28904712192,1136.6666,60.892853,3.3523397,9.197,0.00252,-0.00398,0.00664,-0.061300002,13.126,3.121,2.839,0.84,0.204,,
COST,Consumer Defensive,408899190784,50.77258,46.85112,14.0130415,1.465,0.30686,0.08833,0.02943,0.03878,34.066,1.034,0.498,0.982,0.081,0.11,4.259192727272727
CTRA,Energy,20139264000,12.217592,11.32618,1.3699127,3.618,0.118549995,0.06279,0.24691999,0.28043,27.957,1.025,0.887,0.321,0.349,0.235,0.48196510638297874
CRWD,Technology,129630871552,,120.97189,39.04089,28.911,-0.089209996,-0.02053,-0.06841,-0.06381,21.36,1.88,1.686,1.086,0.213,,
CCI,Real Estate,38444085248,,32.940296,-25.72261,10.586,-2.06679,0.03974,-0.71931,0.49254,,0.259,0.095,0.961,-0.043,0.066,4.990953939393939
CSX,Industrials,65193766912,22.707794,17.226603,5.105855,5.97,0.22589001,0.07007,0.20548001,0.35071,155.283,0.847,0.67,1.298,-0.009,-0.196,-0.8789083163265305
CMI,Industrials,69225185280,25.971,22.269094,5.738183,2.244,0.22767,0.079050004,0.079450004,0.12132,62.949,1.769,0.931,1.116,-0.016,-0.341,-0.6530526099706744
CVS,Healthcare,98533351424,204.26317,11.978395,1.3516997,0.432,0.0057800002,0.02498,0.0011999999,0.022650002,111.821,0.832,0.594,0.482,0.078,,
DHR,Healthcare,162250129408,46.71959,27.03938,3.1336782,7.281,0.06843,0.040570002,0.14435,0.2075,35.544,1.519,0.835,0.928,0.044,0.134,2.017864179104478
DRI,Consumer Cyclical,20362133504,18.718113,16.537878,9.133891,2.277,0.50411,0.07475,0.08898,0.09879,361.727,0.397,0.13,0.656,0.104,0.261,0.6336351724137931
DDOG,Technology,54872956928,504.77417,77.08374,15.949444,16.195,0.03519,-0.00503,0.033239998,-0.00656,37.199,3.663,3.551,1.233,0.284,-0.337,-2.287351335311573
DVA,Healthcare,8521370112,12.299278,10.574978,-14.792106,1.68,0.61618,0.07007,0.05796,0.14832,953.093,1.363,1.234,0.994,0.048,-0.184,-0.5747270652173914
DAY,Technology,11060016128,,31.271492,4.103432,6.158,-0.05706,-0.00205,-0.07912,-0.25831,45.53,1.043,0.18,1.201,0.095,,
DECK,Consumer Cyclical,13613469696,13.635958,14.429244,5.4366117,2.348,0.43312,0.21533,0.19364001,0.2282,14.22,3.067,2.024,1.193,0.091,0.144,1.0020308333333334
DE,Industrials,126825037824,25.386906,21.16148,4.8867755,4.033,0.20427999,0.038110003,0.110039994,0.11861,245.842,2.222,2.006,1.008,0.131,-0.137,-1.5446335766423358
DELL,Technology,91409121280,17.771242,14.462767,-35.02963,1.086,,0.05835,0.05005,0.07847,,0.853,0.549,1.091,0.108,0.443,0.326473295711061
DAL,Industrials,42533994496,9.187588,9.279202,2.2448137,0.962,0.28514,0.04749,0.07357,0.0992,117.299,0.398,0.262,1.387,0.064,0.102,0.9097256862745099
DVN,Energy,23652646912,8.787736,8.3542595,1.5267988,1.86,0.18586999,0.08022001,0.16424999,0.24194999,56.274,0.957,0.758,0.684,0.071,-0.162,-0.5156950308641975
DXCM,Healthcare,25274404864,35.805553,31.748768,9.220315,5.401,0.30635,0.07017,0.15958999,0.20053,94.479,1.565,1.346,1.524,0.216,1.099,0.2888877888989991
FANG,Energy,45154041856,10.953651,10.654371,1.1447737,4.605,0.10901,0.051009998,0.28689,0.36628,35.66,0.623,0.431,0.616,0.42,0.1,1.0654371
DLR,Real Estate,54728761344,40.439278,129.33884,2.408174,12.487,0.05825,0.010650001,0.23959999,0.13333,79.248,1.304,1.275,1.118,0.111,0.603,2.14492271973466
DG,Consumer Defensive,24218265600,20.375925,17.68971,3.0227191,0.96,0.15597999,0.03971,0.0286,0.0555,213.026,1.253,0.204,0.287,0.051,0.094,1.8818840425531915
DLTR,Consumer Defensive,22745757696,21.122093,17.985147,6.1866374,1.558,0.20055,0.0529,-0.15799,0.04879,203.675,1.036,0.191,0.764,0.123,0.479,0.37547279749478085
